0 0 0
0.1 0.0992223 0.0992223
0.2 0.197531 0.197531
0.3 0.294012 0.294012
0.4 0.387753 0.387753
0.5 0.477838 0.477838
0.6 0.563356 0.563356
0.7 0.643392 0.643392
0.8 0.717032 0.717032
0.9 0.783363 0.783363
1 0.909297 0.909297
1.1 0.862994 0.862994
1.2 0.806744 0.806744
1.3 0.740474 0.740474
1.4 0.664111 0.664111
1.5 0.57758 0.57758
1.6 0.480808 0.480808
1.7 0.373721 0.373721
1.8 0.256246 0.256246
1.9 0.128309 0.128309
2 -0.780281 -0.780281
2.1 -0.848737 -0.848737
2.2 -0.90955 -0.90955
2.3 -0.961887 -0.961887
2.4 -1.00491 -1.00491
2.5 -1.0378 -1.0378
2.6 -1.0597 -1.0597
2.7 -1.06979 -1.06979
2.8 -1.06723 -1.06723
2.9 -1.05119 -1.05119
3 0.887429 0.887429
3.1 1.19582 1.19582
3.2 1.53291 1.53291
3.3 1.89966 1.89966
3.4 2.29705 2.29705
3.5 2.72606 2.72606
3.6 3.18766 3.18766
3.7 3.68282 3.68282
3.8 4.21253 4.21253
3.9 4.77774 4.77774
4 5.55959 5.55959
4.1 6.00742 6.00742
4.2 6.47247 6.47247
4.3 6.95495 6.95495
4.4 7.45509 7.45509
4.5 7.9731 7.9731
4.6 8.5092 8.5092
4.7 9.06361 9.06361
4.8 9.63656 9.63656
4.9 10.2283 10.2283
5 -1.9055 -1.9055
5.1 -2.29233 -2.29233
5.2 -2.70637 -2.70637
5.3 -3.14836 -3.14836
5.4 -3.61905 -3.61905
5.5 -4.11917 -4.11917
5.6 -4.64945 -4.64945
5.7 -5.21064 -5.21064
5.8 -5.80347 -5.80347
5.9 -6.42868 -6.42868
6 -25.6954 -25.6954
6.1 -27.2772 -27.2772
6.2 -28.918 -28.918
6.3 -30.6188 -30.6188
6.4 -32.3806 -32.3806
6.5 -34.2045 -34.2045
6.6 -36.0914 -36.0914
6.7 -38.0423 -38.0423
6.8 -40.0584 -40.0584
6.9 -42.1406 -42.1406
7 -32.2057 -32.2057
7.1 -33.5305 -33.5305
7.2 -34.8881 -34.8881
7.3 -36.2788 -36.2788
7.4 -37.703 -37.703
7.5 -39.161 -39.161
7.6 -40.6532 -40.6532
7.7 -42.18 -42.18
7.8 -43.7417 -43.7417
7.9 -45.3386 -45.3386
8 18.9404 18.9404
8.1 20.092 20.092
8.2 21.2836 21.2836
8.3 22.5158 22.5158
8.4 23.7894 23.7894
8.5 25.1048 25.1048
8.6 26.4628 26.4628
8.7 27.8639 27.8639
8.8 29.3088 29.3088
8.9 30.7981 30.7981
9 100.276 100.276
9.1 104.032 104.032
9.2 107.878 107.878
9.3 111.815 111.815
9.4 115.844 115.844
9.5 119.966 119.966
9.6 124.182 124.182
9.7 128.493 128.493
9.8 132.901 132.901
9.9 137.406 137.406
10 103.163 103.163
10.1 106.174 106.174
10.2 109.24 109.24
10.3 112.363 112.363
10.4 115.543 115.543
10.5 118.78 118.78
10.6 122.075 122.075
10.7 125.428 125.428
10.8 128.84 128.84
10.9 132.312 132.312
11 -46.8746 -46.8746
11.1 -48.7461 -48.7461
11.2 -50.6626 -50.6626
11.3 -52.6246 -52.6246
11.4 -54.6326 -54.6326
11.5 -56.687 -56.687
11.6 -58.7885 -58.7885
11.7 -60.9375 -60.9375
11.8 -63.1345 -63.1345
11.9 -65.38 -65.38
12 -247.736 -247.736
12.1 -254.493 -254.493
12.2 -261.369 -261.369
12.3 -268.367 -268.367
12.4 -275.487 -275.487
12.5 -282.729 -282.729
12.6 -290.096 -290.096
12.7 -297.588 -297.588
12.8 -305.206 -305.206
12.9 -312.951 -312.951
13 -253.035 -253.035
13.1 -258.811 -258.811
13.2 -264.671 -264.671
13.3 -270.619 -270.619
13.4 -276.653 -276.653
13.5 -282.774 -282.774
13.6 -288.984 -288.984
13.7 -295.283 -295.283
13.8 -301.67 -301.67
13.9 -308.148 -308.148
14 65.718 65.718
14.1 67.8509 67.8509
14.2 70.0248 70.0248
14.3 72.2403 72.2403
14.4 74.4976 74.4976
14.5 76.7971 76.7971
14.6 79.1392 79.1392
14.7 81.5242 81.5242
14.8 83.9526 83.9526
14.9 86.4246 86.4246
15 486.376 486.376
15.1 496.845 496.845
15.2 507.463 507.463
15.3 518.229 518.229
15.4 529.145 529.145
15.5 540.212 540.212
15.6 551.43 551.43
15.7 562.802 562.802
15.8 574.327 574.327
15.9 586.007 586.007
16 507.875 507.875
16.1 517.398 517.398
16.2 527.037 527.037
16.3 536.794 536.794
16.4 546.669 546.669
16.5 556.664 556.664
16.6 566.778 566.778
16.7 577.013 577.013
16.8 587.369 587.369
16.9 597.847 597.847
17 29.2 29.2
17.1 28.9103 28.9103
17.2 28.6073 28.6073
17.3 28.2907 28.2907
17.4 27.9604 27.9604
17.5 27.6164 27.6164
17.6 27.2584 27.2584
17.7 26.8863 26.8863
17.8 26.5 26.5
17.9 26.0994 26.0994
18 -1123.03 -1123.03
18.1 -1142.78 -1142.78
18.2 -1162.77 -1162.77
18.3 -1182.98 -1182.98
18.4 -1203.42 -1203.42
18.5 -1224.1 -1224.1
18.6 -1245.01 -1245.01
18.7 -1266.16 -1266.16
18.8 -1287.54 -1287.54
18.9 -1309.16 -1309.16
19 429.706 429.706
19.1 436.753 436.753
19.2 443.877 443.877
19.3 451.079 451.079
19.4 458.36 458.36
19.5 465.72 465.72
19.6 473.158 473.158
19.7 480.677 480.677
19.8 488.275 488.275
19.9 495.954 495.954
