0 0 0 0
0.1 0 0 0
0.2 0.0998334 0 0
0.3 0.198669 0.00998334 0.000998334
0.4 0.29552 0.0298503 0.00398336
0.5 0.389418 0.0594023 0.00992359
0.6 0.479426 0.0983441 0.019758
0.7 0.564642 0.146287 0.0343867
0.8 0.644218 0.202751 0.0546618
0.9 0.717356 0.267173 0.081379
1 0.783327 0.338908 0.11527
1.1 0.841471 0.417241 0.156994
1.2 0.891207 0.501388 0.207133
1.3 0.932039 0.590509 0.266184
1.4 0.963558 0.683713 0.334555
1.5 0.98545 0.780069 0.412562
1.6 0.997495 0.878614 0.500423
1.7 0.999574 0.978363 0.598259
1.8 0.991665 1.07832 0.706091
1.9 0.973848 1.17749 0.82384
2 0.9463 1.27487 0.951327
2.1 0.909297 1.3695 1.08828
2.2 0.863209 1.46043 1.23432
2.3 0.808496 1.54675 1.389
2.4 0.745705 1.6276 1.55176
2.5 0.675463 1.70217 1.72197
2.6 0.598472 1.76972 1.89895
2.7 0.515501 1.82957 2.0819
2.8 0.42738 1.88112 2.27001
2.9 0.334988 1.92385 2.4624
3 0.239249 1.95735 2.65813
3.1 0.14112 1.98128 2.85626
3.2 0.0415807 1.99539 3.0558
3.3 -0.0583741 1.99955 3.25576
3.4 -0.157746 1.99371 3.45513
3.5 -0.255541 1.97794 3.65292
3.6 -0.350783 1.95238 3.84816
3.7 -0.44252 1.9173 4.03989
3.8 -0.529836 1.87305 4.22719
3.9 -0.611858 1.82007 4.4092
4 -0.687766 1.75888 4.58509
4.1 -0.756802 1.69011 4.7541
4.2 -0.818277 1.61443 4.91554
4.3 -0.871576 1.5326 5.0688
4.4 -0.916166 1.44544 5.21335
4.5 -0.951602 1.35382 5.34873
4.6 -0.97753 1.25866 5.47459
4.7 -0.993691 1.16091 5.59069
4.8 -0.999923 1.06154 5.69684
4.9 -0.996165 0.961549 5.79299
5 -0.982453 0.861932 5.87919
5.1 -0.958924 0.763687 5.95556
5.2 -0.925815 0.667795 6.02234
5.3 -0.883455 0.575213 6.07986
5.4 -0.832267 0.486868 6.12854
5.5 -0.772764 0.403641 6.16891
5.6 -0.70554 0.326364 6.20154
5.7 -0.631267 0.25581 6.22713
5.8 -0.550686 0.192684 6.24639
5.9 -0.464602 0.137615 6.26016
6 -0.373877 0.091155 6.26927
6.1 -0.279415 0.0537673 6.27465
6.2 -0.182163 0.0258257 6.27723
6.3 -0.0830894 0.00760949 6.27799
6.4 0.0168139 -0.000699449 6.27792
6.5 0.116549 0.000981941 6.27802
6.6 0.21512 0.0126369 6.27928
6.7 0.311541 0.0341489 6.2827
6.8 0.40485 0.065303 6.28923
6.9 0.494113 0.105788 6.29981
7 0.57844 0.155199 6.31533
7.1 0.656987 0.213043 6.33663
7.2 0.728969 0.278742 6.36451
7.3 0.793668 0.351639 6.39967
7.4 0.850437 0.431006 6.44277
7.5 0.898708 0.516049 6.49437
7.6 0.938 0.60592 6.55497
7.7 0.96792 0.69972 6.62494
7.8 0.988168 0.796512 6.70459
7.9 0.998543 0.895329 6.79412
8 0.998941 0.995183 6.89364
8.1 0.989358 1.09508 7.00315
8.2 0.96989 1.19401 7.12255
8.3 0.940731 1.291 7.25165
8.4 0.902172 1.38508 7.39016
8.5 0.854599 1.47529 7.53769
8.6 0.798487 1.56075 7.69376
8.7 0.734397 1.6406 7.85782
8.8 0.662969 1.71404 8.02923
8.9 0.584917 1.78034 8.20726
9 0.501021 1.83883 8.39114
9.1 0.412118 1.88893 8.58004
9.2 0.319098 1.93014 8.77305
9.3 0.22289 1.96205 8.96926
9.4 0.124454 1.98434 9.16769
9.5 0.0247754 1.99679 9.36737
9.6 -0.0751511 1.99927 9.5673
9.7 -0.174327 1.99175 9.76647
9.8 -0.271761 1.97432 9.9639
9.9 -0.366479 1.94714 10.1586
10 -0.457536 1.91049 10.3497
