0, 0
0, 1
-1, 1
-1, 0
-2, 0
-2, -1
-2, 0
-1, 0
-2, 0
-3, 0
-3, 1
-3, 0
-3, 1
-3, 0
-3, -1
-3, 0
-2, 0
-2, 1
-1, 1
0, 1
0, 0
1, 0
1, -1
0, -1
0, 0
0, 1
0, 2
0, 1
0, 0
0, -1
-1, -1
-1, 0
-1, 1
-1, 2
-2, 2
-2, 1
-3, 1
-2, 1
-2, 0
-2, 1
-3, 1
-4, 1
-5, 1
-5, 0
-4, 0
-5, 0
-5, 1
-4, 1
-4, 0
-4, 1
-5, 1
-5, 2
-5, 1
-4, 1
-3, 1
-4, 1
-4, 2
-4, 3
-3, 3
-4, 3
-5, 3
-6, 3
-5, 3
-5, 2
-4, 2
-5, 2
-5, 3
-6, 3
-7, 3
-8, 3
-7, 3
-7, 2
-7, 3
-8, 3
-8, 4
-8, 3
-8, 4
-7, 4
-7, 3
-7, 4
-7, 3
-6, 3
-5, 3
-5, 4
-4, 4
-3, 4
-3, 3
-3, 2
-3, 3
-3, 2
-2, 2
-1, 2
0, 2
1, 2
1, 1
2, 1
2, 2
2, 3
2, 4
2, 3
2, 2
2, 3
2, 4
2, 5
2, 4
1, 4
0, 4
0, 5
-1, 5
0, 5
1, 5
2, 5
1, 5
2, 5
2, 6
1, 6
0, 6
-1, 6
0, 6
0, 5
1, 5
0, 5
0, 4
-1, 4
-2, 4
-2, 3
-3, 3
-3, 2
-4, 2
-4, 1
-4, 0
-3, 0
-4, 0
-5, 0
-5, 1
-6, 1
-6, 2
-6, 1
-6, 0
-5, 0
-4, 0
-4, -1
-3, -1
-4, -1
-4, -2
-4, -3
-4, -2
-3, -2
-2, -2
-2, -3
-1, -3
-2, -3
-1, -3
-1, -4
-1, -3
-2, -3
-2, -2
-2, -3
-3, -3
-3, -4
-3, -5
-2, -5
-1, -5
0, -5
-1, -5
-1, -4
-2, -4
-1, -4
-1, -3
0, -3
1, -3
1, -2
1, -3
2, -3
2, -4
2, -5
2, -6
1, -6
1, -7
2, -7
3, -7
3, -8
2, -8
3, -8
3, -9
3, -10
3, -9
2, -9
2, -8
2, -9
1, -9
0, -9
0, -10
-1, -10
-1, -9
0, -9
0, -10
0, -11
1, -11
0, -11
1, -11
2, -11
2, -12
2, -13
1, -13
1, -12
1, -11
2, -11
3, -11
3, -10
4, -10
5, -10
4, -10
3, -10
2, -10
3, -10
4, -10
4, -11
4, -10
4, -11
4, -10
4, -11
5, -11
4, -11
5, -11
5, -10
4, -10
4, -11
4, -10
4, -9
3, -9
3, -8
3, -7
4, -7
3, -7
3, -8
3, -9
4, -9
5, -9
5, -10
5, -9
6, -9
6, -10
6, -11
6, -10
7, -10
8, -10
8, -9
8, -10
8, -9
7, -9
6, -9
5, -9
5, -8
5, -7
4, -7
5, -7
6, -7
7, -7
7, -6
7, -5
6, -5
7, -5
8, -5
8, -4
8, -3
9, -3
8, -3
8, -2
9, -2
10, -2
11, -2
12, -2
12, -3
12, -4
12, -3
13, -3
13, -4
12, -4
12, -5
11, -5
11, -4
10, -4
10, -3
11, -3
11, -4
11, -5
10, -5
10, -6
11, -6
11, -7
10, -7
9, -7
10, -7
10, -6
10, -7
10, -6
10, -5
11, -5
12, -5
12, -4
13, -4
14, -4
14, -3
15, -3
15, -4
14, -4
15, -4
15, -5
15, -4
15, -5
16, -5
17, -5
18, -5
18, -6
17, -6
18, -6
18, -5
18, -4
18, -5
18, -4
17, -4
16, -4
17, -4
16, -4
16, -5
16, -6
16, -7
15, -7
16, -7
16, -8
16, -9
17, -9
17, -10
16, -10
17, -10
17, -11
17, -10
18, -10
18, -9
19, -9
20, -9
20, -8
19, -8
20, -8
19, -8
19, -7
20, -7
21, -7
22, -7
23, -7
23, -6
22, -6
21, -6
21, -5
21, -6
22, -6
22, -5
22, -4
21, -4
21, -3
21, -2
22, -2
22, -1
21, -1
20, -1
20, -2
21, -2
22, -2
22, -3
22, -2
23, -2
23, -3
22, -3
21, -3
22, -3
22, -2
22, -3
23, -3
23, -2
23, -3
24, -3
23, -3
22, -3
21, -3
21, -4
22, -4
21, -4
20, -4
20, -3
20, -2
20, -3
21, -3
21, -2
21, -1
21, 0
22, 0
21, 0
21, 1
22, 1
23, 1
22, 1
23, 1
24, 1
24, 2
24, 3
25, 3
26, 3
25, 3
26, 3
26, 2
25, 2
24, 2
25, 2
